date,month,total_stock_kg,leg_stock_kg,wings_stock_kg,lollipop_stock_kg,actual_customers_served,total_sales_amount,coupon_uses_count,leg_pieces_sold,wings_pieces_sold,lollipop_pieces_sold,leg_pieces_leftover,wings_pieces_leftover,lollipop_pieces_leftover,leg_leftover_kg,wings_leftover_kg,lollipop_leftover_kg,total_pieces,total_sold_pieces,total_leftover_kg,total_sold_kg
2026-02-01,February,15.0,6.0,4.0,5.0,53,7605.0,4,42,100,72,18,0,28,1.8,0.0,1.4,260,46,3.2,11.8
2026-02-02,February,15.0,6.0,4.0,5.0,58,8671.0,3,56,100,76,4,0,24,0.4,0.0,1.2,260,28,1.6,13.4
2026-02-03,February,15.0,6.0,4.0,5.0,60,8970.0,9,60,95,84,0,5,16,0.0,0.2,0.8,260,21,1.0,14.0
2026-02-04,February,15.0,6.0,4.0,5.0,60,8905.0,5,48,100,100,12,0,0,1.2,0.0,0.0,260,12,1.2,13.8
2026-02-05,February,15.0,6.0,4.0,5.0,54,7527.0,10,44,100,68,16,0,32,1.6,0.0,1.6,260,48,3.2,11.8
2026-02-06,February,15.0,6.0,4.0,5.0,47,6721.0,3,24,100,80,36,0,20,3.6,0.0,1.0,260,56,4.6,10.4
2026-02-07,February,15.0,6.0,4.0,5.0,51,6916.0,7,24,85,100,36,15,0,3.6,0.6,0.0,260,51,4.2,10.8
2026-02-08,February,15.0,6.0,4.0,5.0,51,7150.0,10,28,85,100,32,15,0,3.2,0.6,0.0,260,47,3.8000000000000003,11.2
2026-02-09,February,15.0,6.0,4.0,5.0,44,7007.0,9,32,100,76,28,0,24,2.8,0.0,1.2,260,52,4.0,11.0
2026-02-10,February,15.0,6.0,4.0,5.0,45,7007.0,8,46,85,60,14,15,40,1.4,0.6,2.0,260,69,4.0,11.0
2026-02-11,February,15.0,6.0,4.0,5.0,52,7293.0,8,46,90,64,14,10,36,1.4,0.4,1.8,260,60,3.5999999999999996,11.4
2026-02-12,February,15.0,6.0,4.0,5.0,50,7540.0,8,40,85,88,20,15,12,2.0,0.6,0.6,260,47,3.2,11.8
