date,month,total_stock_kg,leg_stock_kg,wings_stock_kg,lollipop_stock_kg,planned_customers,actual_customers_served,total_sales_amount,coupon_uses_count,leg_pieces_sold,wings_pieces_sold,lollipop_pieces_sold,leg_pieces_leftover,wings_pieces_leftover,lollipop_pieces_leftover,leg_leftover_kg,wings_leftover_kg,lollipop_leftover_kg
2026-02-01,February,15,6,4,5,53,53,7605,4,42,100,72,18,0,28,1.8,0,1.4
2026-02-02,February,15,6,4,5,58,58,8671,3,56,100,76,4,0,24,0.4,0,1.2
2026-02-03,February,15,6,4,5,60,60,8970,9,60,95,84,0,5,16,0,0.2,0.8
2026-02-04,February,15,6,4,5,60,60,8905,5,48,100,100,12,0,0,1.2,0,0
2026-02-05,February,15,6,4,5,54,54,7527,10,44,100,68,16,0,32,1.6,0,1.6
2026-02-06,February,15,6,4,5,47,47,6721,3,24,100,80,36,0,20,3.6,0,1
2026-02-07,February,15,6,4,5,51,51,6916,7,24,85,100,36,15,0,3.6,0.6,0
2026-02-08,February,15,6,4,5,51,51,7150,10,28,85,100,32,15,0,3.2,0.6,0
2026-02-09,February,15,6,4,5,44,44,7007,9,32,100,76,28,0,24,2.8,0,1.2
2026-02-10,February,15,6,4,5,45,45,7007,8,46,85,60,14,15,40,1.4,0.6,2
2026-02-11,February,15,6,4,5,52,52,7293,8,46,90,64,14,10,36,1.4,0.4,1.8
2026-02-12,February,15,6,4,5,50,50,7540,8,40,85,88,20,15,12,2,0.6,0.6
2026-02-13,February,15,6,4,5,42,42,6097,9,28,75,76,32,25,24,3.2,1,1.2
2026-02-14,February,15,6,4,5,55,55,8073,9,38,95,100,22,5,0,2.2,0.2,0
2026-02-15,February,15,6,4,5,43,43,6396,7,36,80,64,24,20,36,2.4,0.8,1.8
2026-02-16,February,15,6,4,5,55,55,8099,6,42,85,100,18,15,0,1.8,0.6,0
2026-02-17,February,15,6,4,5,50,50,7280,8,48,100,52,12,0,48,1.2,0,2.4
2026-02-18,February,15,6,4,5,60,60,9269,6,60,100,88,0,0,12,0,0,0.6
2026-02-19,February,15,6,4,5,41,41,5759,7,28,85,56,32,15,44,3.2,0.6,2.2
2026-02-20,February,15,6,4,5,56,56,8710,16,48,100,100,12,0,0,1.2,0,0
2026-02-21,February,15,6,4,5,55,55,8073,8,40,100,92,20,0,8,2,0,0.4
2026-02-22,February,15,6,4,5,53,53,7930,8,48,85,84,12,15,16,1.2,0.6,0.8
2026-02-23,February,15,6,4,5,41,41,6019,7,30,95,52,30,5,48,3,0.2,2.4
2026-02-24,February,15,6,4,5,51,51,7332,6,38,100,72,22,0,28,2.2,0,1.4
2026-02-25,February,15,6,4,5,55,55,7878,4,44,85,88,16,15,12,1.6,0.6,0.6
2026-02-26,February,15,6,4,5,53,53,7982,5,36,100,96,24,0,4,2.4,0,0.2
2026-02-27,February,15,6,4,5,59,59,8970,9,52,95,100,8,5,0,0.8,0.2,0
2026-02-28,February,15,6,4,5,47,47,7215,4,34,95,80,26,5,20,2.6,0.2,1
2026-03-01,March,13.9,5.56,3.71,4.63,55,55,8489,7,50,90,92,5,2,0,0.5,0.08,0
2026-03-02,March,11,4.4,2.93,3.67,34,34,4849,6,28,60,48,16,13,25,1.6,0.52,1.25
2026-03-03,March,14.7,5.88,3.92,4.9,49,49,7150,9,38,95,72,20,3,26,2,0.12,1.3
2026-03-04,March,13.7,5.48,3.65,4.57,52,52,7059,6,46,50,88,8,41,3,0.8,1.64,0.15
2026-03-05,March,10.7,4.28,2.85,3.57,40,40,6396,12,40,70,68,2,1,3,0.2,0.04,0.15
2026-03-06,March,12.7,5.08,3.39,4.23,45,45,6279,7,32,60,84,18,24,0,1.8,0.96,0
2026-03-07,March,13.3,5.32,3.55,4.43,44,44,6058,3,40,70,52,13,18,36,1.3,0.72,1.8
2026-03-08,March,12.5,5,3.33,4.17,38,38,5005,4,32,40,60,18,43,23,1.8,1.72,1.15
2026-03-09,March,10.4,4.16,2.77,3.47,28,28,4121,3,20,45,52,21,24,17,2.1,0.96,0.85
2026-03-10,March,11.2,4.48,2.99,3.73,31,31,4511,3,22,45,60,22,29,14,2.2,1.16,0.7
2026-03-11,March,11.4,4.56,3.04,3.8,39,39,6305,5,44,65,56,1,11,20,0.1,0.44,1
2026-03-12,March,12.9,5.16,3.44,4.3,34,34,5291,2,30,55,60,21,31,26,2.1,1.24,1.3
2026-03-13,March,10.5,4.2,2.8,3.5,40,40,6396,7,40,70,64,2,0,6,0.2,0,0.3
2026-03-14,March,11.8,4.72,3.15,3.93,31,31,4628,4,22,65,48,25,13,30,2.5,0.52,1.5
2026-03-15,March,14.1,5.64,3.76,4.7,39,39,6344,2,34,55,84,22,39,10,2.2,1.56,0.5
2026-03-16,March,11.6,4.64,3.09,3.87,37,37,5265,4,36,75,32,10,2,45,1,0.08,2.25
2026-03-17,March,12,4.8,3.2,4,42,42,6253,8,34,80,64,14,0,16,1.4,0,0.8
2026-03-18,March,10.8,4.32,2.88,3.6,32,32,4459,6,18,50,64,25,22,8,2.5,0.88,0.4
2026-03-19,March,10.9,4.36,2.91,3.63,33,33,4459,7,24,40,60,19,32,12,1.9,1.28,0.6
2026-03-20,March,13.5,5.4,3.6,4.5,44,44,6292,6,22,80,88,32,10,2,3.2,0.4,0.1
2026-03-21,March,14.2,5.68,3.79,4.73,47,47,6370,10,56,45,52,0,49,42,0,1.96,2.1
2026-03-22,March,14.5,5.8,3.87,4.83,46,46,6760,7,44,50,84,14,46,12,1.4,1.84,0.6
2026-03-23,March,11.5,4.6,3.07,3.83,43,43,6591,2,42,75,60,4,1,16,0.4,0.04,0.8
2026-03-24,March,11.7,4.68,3.12,3.9,43,43,6149,7,34,60,76,12,18,2,1.2,0.72,0.1
2026-03-25,March,10.6,4.24,2.83,3.53,37,37,5148,4,34,45,56,8,25,14,0.8,1,0.7
2026-03-26,March,13.6,5.44,3.63,4.53,47,47,6669,6,54,70,44,0,20,46,0,0.8,2.3
2026-03-27,March,12.2,4.88,3.25,4.07,36,36,5239,5,22,65,68,26,16,13,2.6,0.64,0.65
2026-03-28,March,12.6,5.04,3.36,4.2,34,34,4836,8,22,65,56,28,19,28,2.8,0.76,1.4
2026-03-29,March,12.1,4.84,3.23,4.03,46,46,6279,6,36,80,60,12,0,20,1.2,0,1
2026-03-30,March,11.8,4.72,3.15,3.93,36,36,5642,5,28,75,60,19,3,18,1.9,0.12,0.9
2026-03-31,March,13.4,5.36,3.57,4.47,52,52,7800,9,44,85,88,9,4,1,0.9,0.16,0.05
2026-04-01,April,10.6,4.24,2.83,3.53,37,37,5681,3,30,70,60,12,0,10,1.2,0,0.5
2026-04-02,April,12.1,4.84,3.23,4.03,46,46,6851,3,40,80,68,8,0,12,0.8,0,0.6
2026-04-03,April,11.7,4.68,3.12,3.9,40,40,5694,2,24,65,76,22,13,2,2.2,0.52,0.1
2026-04-04,April,14.1,5.64,3.76,4.7,55,55,7566,8,48,90,68,8,4,26,0.8,0.16,1.3
2026-04-05,April,14.9,5.96,3.97,4.97,50,50,6942,6,36,70,88,23,29,11,2.3,1.16,0.55
2026-04-06,April,11.1,4.44,2.96,3.7,44,44,6825,5,44,70,68,0,4,6,0,0.16,0.3
2026-04-07,April,12.7,5.08,3.39,4.23,44,44,6292,5,42,80,48,8,4,36,0.8,0.16,1.8
2026-04-08,April,10.4,4.16,2.77,3.47,42,42,6032,5,38,65,60,3,4,9,0.3,0.16,0.45
2026-04-09,April,12.7,5.08,3.39,4.23,49,49,7475,4,50,80,68,0,4,16,0,0.16,0.8
2026-04-10,April,10.6,4.24,2.83,3.53,40,40,6045,5,38,70,56,4,0,14,0.4,0,0.7
2026-04-11,April,10.9,4.36,2.91,3.63,42,42,5967,1,30,70,68,13,2,4,1.3,0.08,0.2
2026-04-12,April,14.5,5.8,3.87,4.83,56,56,7930,9,52,95,68,6,1,28,0.6,0.04,1.4
2026-04-13,April,12.1,4.84,3.23,4.03,40,40,6097,9,26,80,76,22,0,4,2.2,0,0.2
2026-04-14,April,14.2,5.68,3.79,4.73,40,40,5369,7,36,60,48,20,34,46,2,1.36,2.3
2026-04-15,April,13.6,5.44,3.63,4.53,48,48,6682,6,28,80,88,26,10,2,2.6,0.4,0.1
2026-04-16,April,10.7,4.28,2.85,3.57,41,41,5447,9,24,70,68,18,1,3,1.8,0.04,0.15
2026-04-17,April,14.8,5.92,3.95,4.93,53,53,7579,7,36,85,96,23,13,2,2.3,0.52,0.1
2026-04-18,April,14.5,5.8,3.87,4.83,53,53,7709,7,46,80,84,12,16,12,1.2,0.64,0.6
2026-04-19,April,11.4,4.56,3.04,3.8,36,36,4940,0,26,50,60,19,26,16,1.9,1.04,0.8
2026-04-20,April,12.9,5.16,3.44,4.3,51,51,7540,9,42,85,84,9,1,2,0.9,0.04,0.1
2026-04-21,April,14.7,5.88,3.92,4.9,59,59,8489,5,46,95,96,12,3,2,1.2,0.12,0.1
2026-04-22,April,13.5,5.4,3.6,4.5,37,37,5889,6,34,90,44,20,0,46,2,0,2.3
2026-04-23,April,10,4,2.67,3.33,32,32,4602,5,22,45,64,18,21,2,1.8,0.84,0.1
2026-04-24,April,14.6,5.84,3.89,4.87,48,48,7189,7,48,95,52,10,2,45,1,0.08,2.25
2026-04-25,April,10.5,4.2,2.8,3.5,39,39,5603,8,32,70,56,10,0,14,1,0,0.7
2026-04-26,April,10.6,4.24,2.83,3.53,32,32,5226,6,34,65,44,8,5,26,0.8,0.2,1.3
2026-04-27,April,11.6,4.64,3.09,3.87,35,35,5031,3,18,75,60,28,2,17,2.8,0.08,0.85
2026-04-28,April,11.2,4.48,2.99,3.73,40,40,5525,5,30,60,64,14,14,10,1.4,0.56,0.5
2026-04-29,April,10.6,4.24,2.83,3.53,39,39,5798,4,38,60,56,4,10,14,0.4,0.4,0.7
2026-04-30,April,12.7,5.08,3.39,4.23,38,38,6045,5,26,80,72,24,4,12,2.4,0.16,0.6
2026-05-01,May,11.1,4.44,2.96,3.7,39,39,6058,4,30,70,72,14,4,2,1.4,0.16,0.1
2026-05-02,May,11.7,4.68,3.12,3.9,34,34,4745,5,30,45,52,16,33,26,1.6,1.32,1.3
2026-05-03,May,14.2,5.68,3.79,4.73,57,57,7995,5,42,90,92,14,4,2,1.4,0.16,0.1
2026-05-04,May,14.2,5.68,3.79,4.73,42,42,5798,12,32,75,60,24,19,34,2.4,0.76,1.7
2026-05-05,May,12.7,5.08,3.39,4.23,44,44,6617,8,30,80,84,20,4,0,2,0.16,0
2026-05-06,May,13.7,5.48,3.65,4.57,38,38,5811,3,20,75,80,34,16,11,3.4,0.64,0.55
2026-05-07,May,11.9,4.76,3.17,3.97,36,36,5551,3,22,70,72,25,9,7,2.5,0.36,0.35
2026-05-08,May,11,4.4,2.93,3.67,31,31,4511,3,20,55,56,24,18,17,2.4,0.72,0.85
2026-05-09,May,10.8,4.32,2.88,3.6,41,41,6305,5,34,70,72,9,2,0,0.9,0.08,0
2026-05-10,May,14.4,5.76,3.84,4.8,55,55,7644,11,36,95,92,21,1,4,2.1,0.04,0.2
2026-05-11,May,14.8,5.92,3.95,4.93,51,51,7046,7,28,90,92,31,8,6,3.1,0.32,0.3
2026-05-12,May,12.9,5.16,3.44,4.3,47,47,6409,6,42,70,60,9,16,26,0.9,0.64,1.3
2026-05-13,May,14.8,5.92,3.95,4.93,57,57,8749,5,56,95,84,3,3,14,0.3,0.12,0.7
2026-05-14,May,14.1,5.64,3.76,4.7,42,42,6019,7,18,90,80,38,4,14,3.8,0.16,0.7
2026-05-15,May,12.7,5.08,3.39,4.23,40,40,6058,3,42,80,40,8,4,44,0.8,0.16,2.2
2026-05-16,May,14,5.6,3.73,4.67,48,48,7072,6,28,90,92,28,3,1,2.8,0.12,0.05
2026-05-17,May,14.5,5.8,3.87,4.83,42,42,5928,4,24,95,60,34,1,36,3.4,0.04,1.8
2026-05-18,May,11.3,4.52,3.01,3.77,41,41,5629,7,28,75,60,17,0,15,1.7,0,0.75
2026-05-19,May,12,4.8,3.2,4,48,48,7280,9,48,80,68,0,0,12,0,0,0.6
2026-05-20,May,13.5,5.4,3.6,4.5,53,53,8398,13,52,90,88,2,0,2,0.2,0,0.1
2026-05-21,May,10.8,4.32,2.88,3.6,42,42,6279,6,34,70,72,9,2,0,0.9,0.08,0
2026-05-22,May,12,4.8,3.2,4,34,34,4706,7,26,65,44,22,15,36,2.2,0.6,1.8
2026-05-23,May,12.1,4.84,3.23,4.03,41,41,5668,4,38,65,48,10,15,32,1,0.6,1.6
2026-05-24,May,10.9,4.36,2.91,3.63,34,34,4875,5,32,70,32,11,2,40,1.1,0.08,2
2026-05-25,May,15,6,4,5,44,44,6591,3,32,75,80,28,25,20,2.8,1,1
2026-05-26,May,12.1,4.84,3.23,4.03,34,34,4914,2,14,65,72,34,15,8,3.4,0.6,0.4
2026-05-27,May,11.3,4.52,3.01,3.77,32,32,4758,3,20,70,52,25,5,23,2.5,0.2,1.15
2026-05-28,May,13.9,5.56,3.71,4.63,44,44,6305,5,44,75,48,11,17,44,1.1,0.68,2.2
